id,line,from,to,goWork,leaveWork,lineCount
0,1호선,가능역,녹양역,1,1,1
1,1호선,가능역,의정부역,1,0.943333333,1
2,1호선,가산디지털단지역,구로역,1.333333333,1.056666667,2
3,1호선,가산디지털단지역,독산역,1.39,1.61,2
4,1호선,간석역,동암역,1,1,1
5,1호선,간석역,주안역,1,1,1
6,1호선,개봉역,구일역,2.556666667,1,1
7,1호선,개봉역,오류동역,1,1.89,1
8,1호선,관악역,석수역,1.776666667,1.223333333,1
9,1호선,관악역,안양역,1.166666667,1.776666667,1
10,1호선,광명역,광명역,0,0,1
11,1호선,광운대역,석계역,1.39,1,1
12,1호선,광운대역,월계역,1,1,1
13,1호선,구로역,구일역,1.28,1.996666667,1
14,1호선,구로역,신도림역,2.556666667,1.223333333,1
15,1호선,구일역,개봉역,1,2.276666667,1
16,1호선,구일역,구로역,2.886666667,1,1
17,1호선,군포역,금정역,1.61,1.11,1
18,1호선,군포역,당정역,1,1.553333333,1
19,1호선,금정역,군포역,1.11,1.556666667,2
20,1호선,금정역,명학역,1.666666667,1.223333333,2
21,1호선,금천구청역,광명역,1.056666667,1.056666667,1
22,1호선,금천구청역,독산역,1.386666667,1.056666667,1
23,1호선,남영역,서울역,2.386666667,1.11,1
24,1호선,남영역,용산역,1.166666667,1.666666667,1
25,1호선,노량진역,대방역,1.166666667,1.556666667,2
26,1호선,노량진역,용산역,2.39,1.11,2
27,1호선,녹양역,가능역,1,0.666666667,1
28,1호선,녹양역,양주역,0.943333333,1,1
29,1호선,녹천역,월계역,1.223333333,1,1
30,1호선,녹천역,창동역,1,1.113333333,1
31,1호선,당정역,군포역,1.61,1.223333333,1
32,1호선,당정역,의왕역,1,1.556666667,1
33,1호선,대방역,노량진역,2.333333333,1.056666667,1
34,1호선,대방역,신길역,1.166666667,1.666666667,1
35,1호선,덕계역,덕정역,0.943333333,1,1
36,1호선,덕계역,양주역,1,0.556666667,1
37,1호선,덕정역,덕계역,0.776666667,0.28,1
38,1호선,덕정역,지행역,0.723333333,1,1
39,1호선,도봉산역,도봉역,1.333333333,1,2
40,1호선,도봉산역,망월사역,1,1,2
41,1호선,도봉역,도봉산역,1,1,1
42,1호선,도봉역,방학역,1.223333333,1,1
43,1호선,도원역,동인천역,0.886666667,0.833333333,1
44,1호선,도원역,제물포역,0.78,0.39,1
45,1호선,도화역,제물포역,1,1,1
46,1호선,도화역,주안역,1,0.833333333,1
47,1호선,독산역,가산디지털단지역,1.39,1,1
48,1호선,독산역,금천구청역,1.276666667,1.613333333,1
49,1호선,동대문역,동묘앞역,1,1.723333333,2
50,1호선,동대문역,종로5가역,2.163333333,1.056666667,2
51,1호선,동두천역,보산역,0.223333333,0.113333333,1
52,1호선,동두천역,소요산역,0,0,1
53,1호선,동두천중앙역,보산역,0.39,0.613333333,1
54,1호선,동두천중앙역,지행역,0.5,0.39,1
55,1호선,동묘앞역,동대문역,2.163333333,1.056666667,2
56,1호선,동묘앞역,신설동역,1,1.78,2
57,1호선,동암역,간석역,1,1,1
58,1호선,동암역,백운역,1,1,1
59,1호선,동인천역,도원역,0,0,1
60,1호선,동인천역,인천역,0.556666667,0.613333333,1
61,1호선,두정역,직산역,0.78,0.943333333,1
62,1호선,두정역,천안역,1,1,1
63,1호선,망월사역,도봉산역,1.28,1,1
64,1호선,망월사역,회룡역,1,1.11,1
65,1호선,명학역,금정역,1.223333333,1.72,1
66,1호선,명학역,안양역,1.666666667,1.166666667,1
67,1호선,방학역,도봉역,1,1.113333333,1
68,1호선,방학역,창동역,1.333333333,1,1
69,1호선,배방역,온양온천역,0.943333333,0.943333333,1
70,1호선,배방역,탕정역,1,0.61,1
71,1호선,백운역,동암역,1,1,1
72,1호선,백운역,부평역,1,1,1
73,1호선,병점역,서동탄역,1,1,1
74,1호선,병점역,세류역,1,1,1
75,1호선,보산역,동두천역,0.11,0.276666667,1
